student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
1,18.75,Male,High School,5.86,2.03,2.57,4.13,2.78,10.11,7.49,Poor,2.32,23.13,7.6,34.41,39.84
2,22.14,Other,High School,6.69,2.31,3.16,3.98,1.96,5.0,0.9,Good,5.65,18.85,16.09,30.62,40.38
3,15.12,Female,High School,6.79,5.06,1.42,2.64,2.11,6.18,6.83,Average,11.0,15.55,31.72,38.05,81.72
4,17.6,Female,High School,5.23,0.93,3.72,2.33,3.1,8.04,9.26,Average,6.92,21.2,21.19,23.74,63.46
5,17.19,Female,High School,8.43,3.68,0.53,4.37,3.14,7.3,10.46,Average,6.65,42.88,12.32,30.07,56.86
6,21.24,Male,High School,5.09,0.24,0.99,3.85,0.84,8.13,8.6,Good,2.84,5.56,2.38,23.75,20.42
7,20.63,Other,High School,2.01,1.67,0.12,1.68,2.5,8.73,4.61,Good,0.82,4.73,0.0,18.36,18.59
8,20.89,Female,High School,3.95,3.73,0.07,1.28,2.93,8.0,9.71,Poor,8.28,13.92,10.45,33.14,62.74
9,21.84,Other,High School,4.16,2.26,1.31,5.45,0.9,8.32,8.59,Average,6.27,6.18,11.25,20.23,33.09
10,21.59,Male,High School,6.24,1.87,0.93,3.32,1.86,10.25,2.67,Good,8.33,7.72,6.95,38.41,48.9
11,18.68,Male,High School,5.64,0.59,3.67,2.01,2.77,6.73,6.34,Average,10.58,27.57,28.47,37.91,63.68
12,25.73,Female,High School,3.23,2.45,1.79,3.04,4.82,7.43,7.19,Good,5.98,5.85,25.69,18.19,40.82
13,23.19,Other,High School,7.08,3.64,3.27,2.39,0.93,9.77,4.41,Good,6.9,24.65,0.0,30.78,59.69
14,19.59,Male,High School,4.38,1.34,1.9,4.76,1.19,6.53,8.13,Good,1.08,25.67,24.06,22.42,30.94
15,19.5,Male,High School,7.29,0.27,3.09,1.62,2.97,6.93,6.41,Average,2.08,16.25,6.48,34.52,53.5
16,16.08,Female,High School,8.35,1.5,1.76,3.2,2.06,7.21,10.76,Good,6.23,15.95,31.81,40.06,55.92
17,16.72,Other,High School,5.05,2.18,0.94,3.78,0.54,5.25,6.81,Good,6.15,20.02,22.28,30.7,48.7
18,17.01,Male,High School,3.63,1.43,2.2,1.51,0.0,4.65,6.29,Poor,1.93,15.6,10.57,12.19,17.77
19,21.26,Other,High School,6.26,1.43,1.85,4.78,2.27,6.67,10.69,Good,2.92,16.66,14.05,18.07,46.03
20,22.3,Female,High School,1.71,2.63,2.61,2.71,2.24,9.05,2.96,Average,8.7,4.03,1.47,16.27,35.99
21,21.16,Other,High School,2.34,3.6,2.26,1.82,2.6,7.13,6.05,Good,6.66,2.07,0.0,22.5,27.43
22,19.36,Female,High School,6.61,2.27,0.33,2.83,0.99,10.26,4.85,Good,5.01,19.95,0.0,26.57,36.02
23,19.08,Male,High School,6.36,2.39,2.64,2.24,1.47,7.71,1.86,Good,8.97,17.92,0.0,37.71,59.47
24,16.28,Female,High School,4.23,0.0,1.77,2.44,2.43,6.01,2.44,Poor,9.48,12.41,6.39,27.63,44.96
25,23.17,Male,High School,8.26,0.79,2.67,5.58,1.62,8.63,5.09,Poor,7.34,15.28,10.98,39.54,53.37
26,21.06,Female,High School,2.56,2.13,1.2,1.0,1.79,9.53,1.31,Average,9.67,19.88,0.2,23.47,49.45
27,21.25,Other,High School,7.95,4.48,1.65,3.26,0.29,8.38,1.24,Poor,9.18,22.01,0.36,54.01,88.65
28,16.55,Male,High School,6.14,1.69,2.38,5.77,2.58,6.37,3.57,Good,8.19,16.35,0.08,38.78,56.44
29,21.22,Female,High School,1.79,3.84,1.7,6.2,2.7,7.95,2.7,Average,8.06,7.81,9.33,20.64,34.69
30,18.16,Other,High School,5.04,4.16,1.27,3.22,0.87,7.17,5.17,Good,2.12,20.31,1.14,23.54,23.34
31,21.71,Female,High School,3.06,3.18,3.31,2.17,2.65,7.52,6.58,Average,6.79,9.36,7.91,22.49,43.27
32,17.34,Other,High School,5.01,1.52,2.86,3.02,4.08,6.91,5.56,Good,7.62,11.99,23.98,33.66,39.13
33,21.62,Other,High School,5.89,1.08,1.68,3.58,2.59,6.7,8.96,Good,7.18,23.01,17.57,26.53,49.36
34,24.17,Other,High School,9.2,1.35,3.11,0.43,2.66,9.56,3.78,Poor,3.34,34.07,0.0,44.08,78.82
35,20.5,Female,High School,1.78,2.63,0.64,3.48,0.0,6.63,1.88,Good,3.63,7.41,0.63,6.41,15.6
36,15.4,Male,High School,7.54,0.94,2.35,2.28,1.39,8.18,8.63,Good,10.94,27.66,8.51,44.39,82.54
37,22.37,Male,High School,7.7,1.32,0.82,3.69,3.91,8.05,11.02,Poor,3.87,10.69,17.6,38.93,66.2
38,17.71,Other,High School,7.92,0.4,2.23,4.56,2.42,6.66,5.8,Poor,3.25,18.27,19.82,28.75,58.68
39,17.07,Female,High School,4.69,3.9,3.17,1.53,2.29,6.28,8.8,Good,5.33,22.44,24.22,29.9,43.29
40,24.32,Other,High School,3.58,2.65,3.22,0.0,2.48,5.53,8.85,Good,6.39,20.87,0.42,29.72,42.31
41,15.59,Other,High School,7.16,0.33,0.76,4.01,3.11,5.24,5.26,Good,7.15,18.36,2.81,42.5,71.9
42,18.01,Male,High School,6.64,2.58,0.0,0.0,2.38,5.43,6.75,Poor,4.42,24.03,7.76,39.18,48.49
43,20.35,Other,High School,4.07,3.85,2.1,6.76,1.04,6.53,2.6,Average,5.81,10.11,23.39,23.63,40.53
44,17.48,Female,High School,4.77,2.38,2.53,2.8,2.09,7.27,11.16,Good,5.37,20.15,31.65,24.46,45.14
45,16.42,Female,High School,5.31,3.13,2.28,4.74,2.35,7.8,5.6,Good,6.48,14.76,20.76,16.51,35.65
46,23.1,Male,High School,0.0,1.69,2.38,2.78,0.05,7.74,5.99,Average,8.05,0.94,10.22,0.43,24.07
47,18.66,Male,High School,4.63,3.79,1.03,0.31,1.38,7.24,5.55,Poor,10.29,19.99,0.29,44.03,53.55
48,17.82,Male,High School,5.67,2.23,2.08,2.4,0.0,8.26,2.02,Good,4.75,20.16,1.66,24.47,43.29
49,18.81,Female,High School,6.29,1.53,2.06,0.0,0.0,6.16,5.57,Poor,4.84,22.22,11.04,34.96,60.58
50,18.51,Female,High School,1.31,1.3,1.95,3.63,1.34,7.87,10.2,Good,8.64,5.47,22.38,12.9,14.74
51,18.74,Male,High School,4.07,2.01,3.65,4.58,2.55,7.09,8.61,Average,3.74,7.3,35.83,22.98,40.48
52,19.78,Male,High School,9.31,2.24,1.66,1.9,1.57,6.54,10.76,Poor,3.37,32.06,30.32,44.46,61.18
53,19.87,Other,High School,0.74,2.03,2.93,2.17,0.19,5.79,7.97,Poor,6.54,10.36,19.47,7.99,22.64
